,pref,pop_dens,pref_no
7836,Miyagi,731 ,4
7837,Fukuoka,1848 ,40
7838,Saga,610 ,41
7839,Nagasaki,792 ,42
7840,Kumamoto,625 ,43
7841,Oita,631 ,44
7842,Miyazaki,580 ,45
7843,Kagoshima,484 ,46
7844,Okinawa,1243 ,47
7845,Akita,302 ,5
7846,Yamagata,374 ,6
7847,Fukushima,438 ,7
7848,Ibaraki,719 ,8
7849,Tochigi,648 ,9
7850,Hokkaido,235 ,1
7851,Gunma,852 ,10
7852,Saitama,2844 ,11
7853,Chiba,1761 ,12
7854,Tokyo,9793 ,13
7855,Kanagawa,6253 ,14
7856,Niigata,490 ,15
7857,Toyama,567 ,16
7858,Ishikawa,818 ,17
7859,Fukui,713 ,18
7860,Yamanashi,850 ,19
7861,Aomori,386 ,2
7862,Nagano,635 ,20
7863,Gifu,899 ,21
7864,Shizuoka,1325 ,22
7865,Aichi,2527 ,23
7866,Mie,865 ,24
7867,Shiga,1082 ,25
7868,Kyoto,2201 ,26
7869,Osaka,6620 ,27
7870,Hyogo,1964 ,28
7871,Nara,1555 ,29
7872,Iwate,330 ,3
7873,Wakayama,830 ,30
7874,Tottori,617 ,31
7875,Shimane,519 ,32
7876,Okayama,852 ,33
7877,Hiroshima,1213 ,34
7878,Yamaguchi,796 ,35
7879,Tokushima,721 ,36
7880,Kagawa,951 ,37
7881,Ehime,800 ,38
7882,Kochi,600 ,39
7883,Miyagi,731 ,4
7884,Fukuoka,1848 ,40
7885,Saga,610 ,41
7886,Nagasaki,792 ,42
7887,Kumamoto,625 ,43
7888,Oita,631 ,44
7889,Miyazaki,580 ,45
7890,Kagoshima,484 ,46
7891,Okinawa,1243 ,47
7892,Akita,302 ,5
7893,Yamagata,374 ,6
7894,Fukushima,438 ,7
7895,Ibaraki,719 ,8
7896,Tochigi,648 ,9
7897,Hokkaido,235 ,1
7898,Gunma,852 ,10
7899,Saitama,2844 ,11
7900,Chiba,1761 ,12
7901,Tokyo,9793 ,13
7902,Kanagawa,6253 ,14
7903,Niigata,490 ,15
7904,Toyama,567 ,16
7905,Ishikawa,818 ,17
7906,Fukui,713 ,18
7907,Yamanashi,850 ,19
7908,Aomori,386 ,2
7909,Nagano,635 ,20
7910,Gifu,899 ,21
7911,Shizuoka,1325 ,22
7912,Aichi,2527 ,23
7913,Mie,865 ,24
7914,Shiga,1082 ,25
7915,Kyoto,2201 ,26
7916,Osaka,6620 ,27
7917,Hyogo,1964 ,28
7918,Nara,1555 ,29
7919,Iwate,330 ,3
7920,Wakayama,830 ,30
7921,Tottori,617 ,31
7922,Shimane,519 ,32
7923,Okayama,852 ,33
7924,Hiroshima,1213 ,34
7925,Yamaguchi,796 ,35
7926,Tokushima,721 ,36
7927,Kagawa,951 ,37
7928,Ehime,800 ,38
7929,Kochi,600 ,39
7930,Miyagi,731 ,4
7931,Fukuoka,1848 ,40
7932,Saga,610 ,41
7933,Nagasaki,792 ,42
7934,Kumamoto,625 ,43
7935,Oita,631 ,44
7936,Miyazaki,580 ,45
7937,Kagoshima,484 ,46
7938,Okinawa,1243 ,47
7939,Akita,302 ,5
7940,Yamagata,374 ,6
7941,Fukushima,438 ,7
7942,Ibaraki,719 ,8
7943,Tochigi,648 ,9
7944,Hokkaido,235 ,1
7945,Gunma,852 ,10
7946,Saitama,2844 ,11
7947,Chiba,1761 ,12
7948,Tokyo,9793 ,13
7949,Kanagawa,6253 ,14
7950,Niigata,490 ,15
7951,Toyama,567 ,16
7952,Ishikawa,818 ,17
7953,Fukui,713 ,18
7954,Yamanashi,850 ,19
7955,Aomori,386 ,2
7956,Nagano,635 ,20
7957,Gifu,899 ,21
7958,Shizuoka,1325 ,22
7959,Aichi,2527 ,23
7960,Mie,865 ,24
7961,Shiga,1082 ,25
7962,Kyoto,2201 ,26
7963,Osaka,6620 ,27
7964,Hyogo,1964 ,28
7965,Nara,1555 ,29
7966,Iwate,330 ,3
7967,Wakayama,830 ,30
7968,Tottori,617 ,31
7969,Shimane,519 ,32
7970,Okayama,852 ,33
7971,Hiroshima,1213 ,34
7972,Yamaguchi,796 ,35
7973,Tokushima,721 ,36
7974,Kagawa,951 ,37
7975,Ehime,800 ,38
7976,Kochi,600 ,39
7977,Miyagi,731 ,4
7978,Fukuoka,1848 ,40
7979,Saga,610 ,41
7980,Nagasaki,792 ,42
7981,Kumamoto,625 ,43
7982,Oita,631 ,44
7983,Miyazaki,580 ,45
7984,Kagoshima,484 ,46
7985,Okinawa,1243 ,47
7986,Akita,302 ,5
7987,Yamagata,374 ,6
7988,Fukushima,438 ,7
7989,Ibaraki,719 ,8
7990,Tochigi,648 ,9
7991,Hokkaido,235 ,1
7992,Gunma,852 ,10
7993,Saitama,2844 ,11
7994,Chiba,1761 ,12
7995,Tokyo,9793 ,13
7996,Kanagawa,6253 ,14
7997,Niigata,490 ,15
7998,Toyama,567 ,16
7999,Ishikawa,818 ,17
8000,Fukui,713 ,18
8001,Yamanashi,850 ,19
8002,Aomori,386 ,2
8003,Nagano,635 ,20
8004,Gifu,899 ,21
8005,Shizuoka,1325 ,22
8006,Aichi,2527 ,23
8007,Mie,865 ,24
8008,Shiga,1082 ,25
8009,Kyoto,2201 ,26
8010,Osaka,6620 ,27
8011,Hyogo,1964 ,28
8012,Nara,1555 ,29
8013,Iwate,330 ,3
8014,Wakayama,830 ,30
8015,Tottori,617 ,31
8016,Shimane,519 ,32
8017,Okayama,852 ,33
8018,Hiroshima,1213 ,34
8019,Yamaguchi,796 ,35
8020,Tokushima,721 ,36
8021,Kagawa,951 ,37
8022,Ehime,800 ,38
8023,Kochi,600 ,39
8024,Miyagi,731 ,4
8025,Fukuoka,1848 ,40
8026,Saga,610 ,41
8027,Nagasaki,792 ,42
8028,Kumamoto,625 ,43
8029,Oita,631 ,44
8030,Miyazaki,580 ,45
8031,Kagoshima,484 ,46
8032,Okinawa,1243 ,47
8033,Akita,302 ,5
8034,Yamagata,374 ,6
8035,Fukushima,438 ,7
8036,Ibaraki,719 ,8
8037,Tochigi,648 ,9
8038,Hokkaido,235 ,1
8039,Gunma,852 ,10
8040,Saitama,2844 ,11
8041,Chiba,1761 ,12
8042,Tokyo,9793 ,13
8043,Kanagawa,6253 ,14
8044,Niigata,490 ,15
8045,Toyama,567 ,16
8046,Ishikawa,818 ,17
8047,Fukui,713 ,18
8048,Yamanashi,850 ,19
8049,Aomori,386 ,2
8050,Nagano,635 ,20
8051,Gifu,899 ,21
8052,Shizuoka,1325 ,22
8053,Aichi,2527 ,23
8054,Mie,865 ,24
8055,Shiga,1082 ,25
8056,Kyoto,2201 ,26
8057,Osaka,6620 ,27
8058,Hyogo,1964 ,28
8059,Nara,1555 ,29
8060,Iwate,330 ,3
8061,Wakayama,830 ,30
8062,Tottori,617 ,31
8063,Shimane,519 ,32
8064,Okayama,852 ,33
8065,Hiroshima,1213 ,34
8066,Yamaguchi,796 ,35
8067,Tokushima,721 ,36
8068,Kagawa,951 ,37
8069,Ehime,800 ,38
8070,Kochi,600 ,39
8071,Miyagi,731 ,4
8072,Fukuoka,1848 ,40
8073,Saga,610 ,41
8074,Nagasaki,792 ,42
8075,Kumamoto,625 ,43
8076,Oita,631 ,44
8077,Miyazaki,580 ,45
8078,Kagoshima,484 ,46
8079,Okinawa,1243 ,47
8080,Akita,302 ,5
8081,Yamagata,374 ,6
8082,Fukushima,438 ,7
8083,Ibaraki,719 ,8
8084,Tochigi,648 ,9
8085,Hokkaido,235 ,1
8086,Gunma,852 ,10
8087,Saitama,2844 ,11
8088,Chiba,1761 ,12
8089,Tokyo,9793 ,13
8090,Kanagawa,6253 ,14
8091,Niigata,490 ,15
8092,Toyama,567 ,16
8093,Ishikawa,818 ,17
8094,Fukui,713 ,18
8095,Yamanashi,850 ,19
8096,Aomori,386 ,2
8097,Nagano,635 ,20
8098,Gifu,899 ,21
8099,Shizuoka,1325 ,22
8100,Aichi,2527 ,23
8101,Mie,865 ,24
8102,Shiga,1082 ,25
8103,Kyoto,2201 ,26
8104,Osaka,6620 ,27
8105,Hyogo,1964 ,28
8106,Nara,1555 ,29
8107,Iwate,330 ,3
8108,Wakayama,830 ,30
8109,Tottori,617 ,31
8110,Shimane,519 ,32
8111,Okayama,852 ,33
8112,Hiroshima,1213 ,34
8113,Yamaguchi,796 ,35
8114,Tokushima,721 ,36
8115,Kagawa,951 ,37
8116,Ehime,800 ,38
8117,Kochi,600 ,39
8118,Miyagi,731 ,4
8119,Fukuoka,1848 ,40
8120,Saga,610 ,41
8121,Nagasaki,792 ,42
8122,Kumamoto,625 ,43
8123,Oita,631 ,44
8124,Miyazaki,580 ,45
8125,Kagoshima,484 ,46
8126,Okinawa,1243 ,47
8127,Akita,302 ,5
8128,Yamagata,374 ,6
8129,Fukushima,438 ,7
8130,Ibaraki,719 ,8
8131,Tochigi,648 ,9
8132,Hokkaido,235 ,1
8133,Gunma,852 ,10
8134,Saitama,2844 ,11
8135,Chiba,1761 ,12
8136,Tokyo,9793 ,13
8137,Kanagawa,6253 ,14
8138,Niigata,490 ,15
8139,Toyama,567 ,16
8140,Ishikawa,818 ,17
8141,Fukui,713 ,18
8142,Yamanashi,850 ,19
8143,Aomori,386 ,2
8144,Nagano,635 ,20
8145,Gifu,899 ,21
8146,Shizuoka,1325 ,22
8147,Aichi,2527 ,23
8148,Mie,865 ,24
8149,Shiga,1082 ,25
8150,Kyoto,2201 ,26
8151,Osaka,6620 ,27
8152,Hyogo,1964 ,28
8153,Nara,1555 ,29
8154,Iwate,330 ,3
8155,Wakayama,830 ,30
8156,Tottori,617 ,31
8157,Shimane,519 ,32
8158,Okayama,852 ,33
8159,Hiroshima,1213 ,34
8160,Yamaguchi,796 ,35
8161,Tokushima,721 ,36
8162,Kagawa,951 ,37
8163,Ehime,800 ,38
8164,Kochi,600 ,39
8165,Miyagi,731 ,4
8166,Fukuoka,1848 ,40
8167,Saga,610 ,41
8168,Nagasaki,792 ,42
8169,Kumamoto,625 ,43
8170,Oita,631 ,44
8171,Miyazaki,580 ,45
8172,Kagoshima,484 ,46
8173,Okinawa,1243 ,47
8174,Akita,302 ,5
8175,Yamagata,374 ,6
8176,Fukushima,438 ,7
8177,Ibaraki,719 ,8
8178,Tochigi,648 ,9
8179,Hokkaido,235 ,1
8180,Gunma,852 ,10
8181,Saitama,2844 ,11
8182,Chiba,1761 ,12
8183,Tokyo,9793 ,13
8184,Kanagawa,6253 ,14
8185,Niigata,490 ,15
8186,Toyama,567 ,16
8187,Ishikawa,818 ,17
8188,Fukui,713 ,18
8189,Yamanashi,850 ,19
8190,Aomori,386 ,2
8191,Nagano,635 ,20
8192,Gifu,899 ,21
8193,Shizuoka,1325 ,22
8194,Aichi,2527 ,23
8195,Mie,865 ,24
8196,Shiga,1082 ,25
8197,Kyoto,2201 ,26
8198,Osaka,6620 ,27
8199,Hyogo,1964 ,28
8200,Nara,1555 ,29
8201,Iwate,330 ,3
8202,Wakayama,830 ,30
8203,Tottori,617 ,31
8204,Shimane,519 ,32
8205,Okayama,852 ,33
8206,Hiroshima,1213 ,34
8207,Yamaguchi,796 ,35
8208,Tokushima,721 ,36
8209,Kagawa,951 ,37
8210,Ehime,800 ,38
8211,Kochi,600 ,39
8212,Miyagi,731 ,4
8213,Fukuoka,1848 ,40
8214,Saga,610 ,41
8215,Nagasaki,792 ,42
8216,Kumamoto,625 ,43
8217,Oita,631 ,44
8218,Miyazaki,580 ,45
8219,Kagoshima,484 ,46
8220,Okinawa,1243 ,47
8221,Akita,302 ,5
8222,Yamagata,374 ,6
8223,Fukushima,438 ,7
8224,Ibaraki,719 ,8
8225,Tochigi,648 ,9
8226,Hokkaido,235 ,1
8227,Gunma,852 ,10
8228,Saitama,2844 ,11
8229,Chiba,1761 ,12
8230,Tokyo,9793 ,13
8231,Kanagawa,6253 ,14
8232,Niigata,490 ,15
8233,Toyama,567 ,16
8234,Ishikawa,818 ,17
8235,Fukui,713 ,18
8236,Yamanashi,850 ,19
8237,Aomori,386 ,2
8238,Nagano,635 ,20
8239,Gifu,899 ,21
8240,Shizuoka,1325 ,22
8241,Aichi,2527 ,23
8242,Mie,865 ,24
8243,Shiga,1082 ,25
8244,Kyoto,2201 ,26
8245,Osaka,6620 ,27
8246,Hyogo,1964 ,28
8247,Nara,1555 ,29
8248,Iwate,330 ,3
8249,Wakayama,830 ,30
8250,Tottori,617 ,31
8251,Shimane,519 ,32
8252,Okayama,852 ,33
8253,Hiroshima,1213 ,34
8254,Yamaguchi,796 ,35
8255,Tokushima,721 ,36
8256,Kagawa,951 ,37
8257,Ehime,800 ,38
8258,Kochi,600 ,39
8259,Miyagi,731 ,4
8260,Fukuoka,1848 ,40
8261,Saga,610 ,41
8262,Nagasaki,792 ,42
8263,Kumamoto,625 ,43
8264,Oita,631 ,44
8265,Miyazaki,580 ,45
8266,Kagoshima,484 ,46
8267,Okinawa,1243 ,47
8268,Akita,302 ,5
8269,Yamagata,374 ,6
8270,Fukushima,438 ,7
8271,Ibaraki,719 ,8
8272,Tochigi,648 ,9
8273,Hokkaido,235 ,1
8274,Gunma,852 ,10
8275,Saitama,2844 ,11
8276,Chiba,1761 ,12
8277,Tokyo,9793 ,13
8278,Kanagawa,6253 ,14
8279,Niigata,490 ,15
8280,Toyama,567 ,16
8281,Ishikawa,818 ,17
8282,Fukui,713 ,18
8283,Yamanashi,850 ,19
8284,Aomori,386 ,2
8285,Nagano,635 ,20
8286,Gifu,899 ,21
8287,Shizuoka,1325 ,22
8288,Aichi,2527 ,23
8289,Mie,865 ,24
8290,Shiga,1082 ,25
8291,Kyoto,2201 ,26
8292,Osaka,6620 ,27
8293,Hyogo,1964 ,28
8294,Nara,1555 ,29
8295,Iwate,330 ,3
8296,Wakayama,830 ,30
8297,Tottori,617 ,31
8298,Shimane,519 ,32
8299,Okayama,852 ,33
8300,Hiroshima,1213 ,34
8301,Yamaguchi,796 ,35
8302,Tokushima,721 ,36
8303,Kagawa,951 ,37
8304,Ehime,800 ,38
8305,Kochi,600 ,39
8306,Miyagi,731 ,4
8307,Fukuoka,1848 ,40
8308,Saga,610 ,41
8309,Nagasaki,792 ,42
8310,Kumamoto,625 ,43
8311,Oita,631 ,44
8312,Miyazaki,580 ,45
8313,Kagoshima,484 ,46
8314,Okinawa,1243 ,47
8315,Akita,302 ,5
8316,Yamagata,374 ,6
8317,Fukushima,438 ,7
8318,Ibaraki,719 ,8
8319,Tochigi,648 ,9
8320,Hokkaido,235 ,1
8321,Gunma,852 ,10
8322,Saitama,2844 ,11
8323,Chiba,1761 ,12
8324,Tokyo,9793 ,13
8325,Kanagawa,6253 ,14
8326,Niigata,490 ,15
8327,Toyama,567 ,16
8328,Ishikawa,818 ,17
8329,Fukui,713 ,18
8330,Yamanashi,850 ,19
8331,Aomori,386 ,2
8332,Nagano,635 ,20
8333,Gifu,899 ,21
8334,Shizuoka,1325 ,22
8335,Aichi,2527 ,23
8336,Mie,865 ,24
8337,Shiga,1082 ,25
8338,Kyoto,2201 ,26
8339,Osaka,6620 ,27
8340,Hyogo,1964 ,28
8341,Nara,1555 ,29
8342,Iwate,330 ,3
8343,Wakayama,830 ,30
8344,Tottori,617 ,31
8345,Shimane,519 ,32
8346,Okayama,852 ,33
8347,Hiroshima,1213 ,34
8348,Yamaguchi,796 ,35
8349,Tokushima,721 ,36
8350,Kagawa,951 ,37
8351,Ehime,800 ,38
8352,Kochi,600 ,39
8353,Miyagi,731 ,4
8354,Fukuoka,1848 ,40
8355,Saga,610 ,41
8356,Nagasaki,792 ,42
8357,Kumamoto,625 ,43
8358,Oita,631 ,44
8359,Miyazaki,580 ,45
8360,Kagoshima,484 ,46
8361,Okinawa,1243 ,47
8362,Akita,302 ,5
8363,Yamagata,374 ,6
8364,Fukushima,438 ,7
8365,Ibaraki,719 ,8
8366,Tochigi,648 ,9
8367,Hokkaido,235 ,1
8368,Gunma,852 ,10
8369,Saitama,2844 ,11
8370,Chiba,1761 ,12
8371,Tokyo,9793 ,13
8372,Kanagawa,6253 ,14
8373,Niigata,490 ,15
8374,Toyama,567 ,16
8375,Ishikawa,818 ,17
8376,Fukui,713 ,18
8377,Yamanashi,850 ,19
8378,Aomori,386 ,2
8379,Nagano,635 ,20
8380,Gifu,899 ,21
8381,Shizuoka,1325 ,22
8382,Aichi,2527 ,23
8383,Mie,865 ,24
8384,Shiga,1082 ,25
8385,Kyoto,2201 ,26
8386,Osaka,6620 ,27
8387,Hyogo,1964 ,28
8388,Nara,1555 ,29
8389,Iwate,330 ,3
8390,Wakayama,830 ,30
8391,Tottori,617 ,31
8392,Shimane,519 ,32
8393,Okayama,852 ,33
8394,Hiroshima,1213 ,34
8395,Yamaguchi,796 ,35
8396,Tokushima,721 ,36
8397,Kagawa,951 ,37
8398,Ehime,800 ,38
8399,Kochi,600 ,39
8400,Miyagi,731 ,4
8401,Fukuoka,1848 ,40
8402,Saga,610 ,41
8403,Nagasaki,792 ,42
8404,Kumamoto,625 ,43
8405,Oita,631 ,44
8406,Miyazaki,580 ,45
8407,Kagoshima,484 ,46
8408,Okinawa,1243 ,47
8409,Akita,302 ,5
8410,Yamagata,374 ,6
8411,Fukushima,438 ,7
8412,Ibaraki,719 ,8
8413,Tochigi,648 ,9
8414,Hokkaido,235 ,1
8415,Gunma,852 ,10
8416,Saitama,2844 ,11
8417,Chiba,1761 ,12
8418,Tokyo,9793 ,13
8419,Kanagawa,6253 ,14
8420,Niigata,490 ,15
8421,Toyama,567 ,16
8422,Ishikawa,818 ,17
8423,Fukui,713 ,18
8424,Yamanashi,850 ,19
8425,Aomori,386 ,2
8426,Nagano,635 ,20
8427,Gifu,899 ,21
8428,Shizuoka,1325 ,22
8429,Aichi,2527 ,23
8430,Mie,865 ,24
8431,Shiga,1082 ,25
8432,Kyoto,2201 ,26
8433,Osaka,6620 ,27
8434,Hyogo,1964 ,28
8435,Nara,1555 ,29
8436,Iwate,330 ,3
8437,Wakayama,830 ,30
8438,Tottori,617 ,31
8439,Shimane,519 ,32
8440,Okayama,852 ,33
8441,Hiroshima,1213 ,34
8442,Yamaguchi,796 ,35
8443,Tokushima,721 ,36
8444,Kagawa,951 ,37
8445,Ehime,800 ,38
8446,Kochi,600 ,39
8447,Miyagi,731 ,4
8448,Fukuoka,1848 ,40
8449,Saga,610 ,41
8450,Nagasaki,792 ,42
8451,Kumamoto,625 ,43
8452,Oita,631 ,44
8453,Miyazaki,580 ,45
8454,Kagoshima,484 ,46
8455,Okinawa,1243 ,47
8456,Akita,302 ,5
8457,Yamagata,374 ,6
8458,Fukushima,438 ,7
8459,Ibaraki,719 ,8
8460,Tochigi,648 ,9
8461,Hokkaido,235 ,1
8462,Gunma,852 ,10
8463,Saitama,2844 ,11
8464,Chiba,1761 ,12
8465,Tokyo,9793 ,13
8466,Kanagawa,6253 ,14
8467,Niigata,490 ,15
8468,Toyama,567 ,16
8469,Ishikawa,818 ,17
8470,Fukui,713 ,18
8471,Yamanashi,850 ,19
8472,Aomori,386 ,2
8473,Nagano,635 ,20
8474,Gifu,899 ,21
8475,Shizuoka,1325 ,22
8476,Aichi,2527 ,23
8477,Mie,865 ,24
8478,Shiga,1082 ,25
8479,Kyoto,2201 ,26
8480,Osaka,6620 ,27
8481,Hyogo,1964 ,28
8482,Nara,1555 ,29
8483,Iwate,330 ,3
8484,Wakayama,830 ,30
8485,Tottori,617 ,31
8486,Shimane,519 ,32
8487,Okayama,852 ,33
8488,Hiroshima,1213 ,34
8489,Yamaguchi,796 ,35
8490,Tokushima,721 ,36
8491,Kagawa,951 ,37
8492,Ehime,800 ,38
8493,Kochi,600 ,39
8494,Miyagi,731 ,4
8495,Fukuoka,1848 ,40
8496,Saga,610 ,41
8497,Nagasaki,792 ,42
8498,Kumamoto,625 ,43
8499,Oita,631 ,44
8500,Miyazaki,580 ,45
8501,Kagoshima,484 ,46
8502,Okinawa,1243 ,47
8503,Akita,302 ,5
8504,Yamagata,374 ,6
8505,Fukushima,438 ,7
8506,Ibaraki,719 ,8
8507,Tochigi,648 ,9
8508,Hokkaido,235 ,1
8509,Gunma,852 ,10
8510,Saitama,2844 ,11
8511,Chiba,1761 ,12
8512,Tokyo,9793 ,13
8513,Kanagawa,6253 ,14
8514,Niigata,490 ,15
8515,Toyama,567 ,16
8516,Ishikawa,818 ,17
8517,Fukui,713 ,18
8518,Yamanashi,850 ,19
8519,Aomori,386 ,2
8520,Nagano,635 ,20
8521,Gifu,899 ,21
8522,Shizuoka,1325 ,22
8523,Aichi,2527 ,23
8524,Mie,865 ,24
8525,Shiga,1082 ,25
8526,Kyoto,2201 ,26
8527,Osaka,6620 ,27
8528,Hyogo,1964 ,28
8529,Nara,1555 ,29
8530,Iwate,330 ,3
8531,Wakayama,830 ,30
8532,Tottori,617 ,31
8533,Shimane,519 ,32
8534,Okayama,852 ,33
8535,Hiroshima,1213 ,34
8536,Yamaguchi,796 ,35
8537,Tokushima,721 ,36
8538,Kagawa,951 ,37
8539,Ehime,800 ,38
8540,Kochi,600 ,39
8541,Miyagi,731 ,4
8542,Fukuoka,1848 ,40
8543,Saga,610 ,41
8544,Nagasaki,792 ,42
8545,Kumamoto,625 ,43
8546,Oita,631 ,44
8547,Miyazaki,580 ,45
8548,Kagoshima,484 ,46
8549,Okinawa,1243 ,47
8550,Akita,302 ,5
8551,Yamagata,374 ,6
8552,Fukushima,438 ,7
8553,Ibaraki,719 ,8
8554,Tochigi,648 ,9
8555,Hokkaido,235 ,1
8556,Gunma,852 ,10
8557,Saitama,2844 ,11
8558,Chiba,1761 ,12
8559,Tokyo,9793 ,13
8560,Kanagawa,6253 ,14
8561,Niigata,490 ,15
8562,Toyama,567 ,16
8563,Ishikawa,818 ,17
8564,Fukui,713 ,18
8565,Yamanashi,850 ,19
8566,Aomori,386 ,2
8567,Nagano,635 ,20
8568,Gifu,899 ,21
8569,Shizuoka,1325 ,22
8570,Aichi,2527 ,23
8571,Mie,865 ,24
8572,Shiga,1082 ,25
8573,Kyoto,2201 ,26
8574,Osaka,6620 ,27
8575,Hyogo,1964 ,28
8576,Nara,1555 ,29
8577,Iwate,330 ,3
8578,Wakayama,830 ,30
8579,Tottori,617 ,31
8580,Shimane,519 ,32
8581,Okayama,852 ,33
8582,Hiroshima,1213 ,34
8583,Yamaguchi,796 ,35
8584,Tokushima,721 ,36
8585,Kagawa,951 ,37
8586,Ehime,800 ,38
8587,Kochi,600 ,39
8588,Miyagi,731 ,4
8589,Fukuoka,1848 ,40
8590,Saga,610 ,41
8591,Nagasaki,792 ,42
8592,Kumamoto,625 ,43
8593,Oita,631 ,44
8594,Miyazaki,580 ,45
8595,Kagoshima,484 ,46
8596,Okinawa,1243 ,47
8597,Akita,302 ,5
8598,Yamagata,374 ,6
8599,Fukushima,438 ,7
8600,Ibaraki,719 ,8
8601,Tochigi,648 ,9
8602,Hokkaido,235 ,1
8603,Gunma,852 ,10
8604,Saitama,2844 ,11
8605,Chiba,1761 ,12
8606,Tokyo,9793 ,13
8607,Kanagawa,6253 ,14
8608,Niigata,490 ,15
8609,Toyama,567 ,16
8610,Ishikawa,818 ,17
8611,Fukui,713 ,18
8612,Yamanashi,850 ,19
8613,Aomori,386 ,2
8614,Nagano,635 ,20
8615,Gifu,899 ,21
8616,Shizuoka,1325 ,22
8617,Aichi,2527 ,23
8618,Mie,865 ,24
8619,Shiga,1082 ,25
8620,Kyoto,2201 ,26
8621,Osaka,6620 ,27
8622,Hyogo,1964 ,28
8623,Nara,1555 ,29
8624,Iwate,330 ,3
8625,Wakayama,830 ,30
8626,Tottori,617 ,31
8627,Shimane,519 ,32
8628,Okayama,852 ,33
8629,Hiroshima,1213 ,34
8630,Yamaguchi,796 ,35
8631,Tokushima,721 ,36
8632,Kagawa,951 ,37
8633,Ehime,800 ,38
8634,Kochi,600 ,39
8635,Miyagi,731 ,4
8636,Fukuoka,1848 ,40
8637,Saga,610 ,41
8638,Nagasaki,792 ,42
8639,Kumamoto,625 ,43
8640,Oita,631 ,44
8641,Miyazaki,580 ,45
8642,Kagoshima,484 ,46
8643,Okinawa,1243 ,47
8644,Akita,302 ,5
8645,Yamagata,374 ,6
8646,Fukushima,438 ,7
8647,Ibaraki,719 ,8
8648,Tochigi,648 ,9
8649,Hokkaido,235 ,1
8650,Gunma,852 ,10
8651,Saitama,2844 ,11
8652,Chiba,1761 ,12
8653,Tokyo,9793 ,13
8654,Kanagawa,6253 ,14
8655,Niigata,490 ,15
8656,Toyama,567 ,16
8657,Ishikawa,818 ,17
8658,Fukui,713 ,18
8659,Yamanashi,850 ,19
8660,Aomori,386 ,2
8661,Nagano,635 ,20
8662,Gifu,899 ,21
8663,Shizuoka,1325 ,22
8664,Aichi,2527 ,23
8665,Mie,865 ,24
8666,Shiga,1082 ,25
8667,Kyoto,2201 ,26
8668,Osaka,6620 ,27
8669,Hyogo,1964 ,28
8670,Nara,1555 ,29
8671,Iwate,330 ,3
8672,Wakayama,830 ,30
8673,Tottori,617 ,31
8674,Shimane,519 ,32
8675,Okayama,852 ,33
8676,Hiroshima,1213 ,34
8677,Yamaguchi,796 ,35
8678,Tokushima,721 ,36
8679,Kagawa,951 ,37
8680,Ehime,800 ,38
8681,Kochi,600 ,39
8682,Miyagi,731 ,4
8683,Fukuoka,1848 ,40
8684,Saga,610 ,41
8685,Nagasaki,792 ,42
8686,Kumamoto,625 ,43
8687,Oita,631 ,44
8688,Miyazaki,580 ,45
8689,Kagoshima,484 ,46
8690,Okinawa,1243 ,47
8691,Akita,302 ,5
8692,Yamagata,374 ,6
8693,Fukushima,438 ,7
8694,Ibaraki,719 ,8
8695,Tochigi,648 ,9
8696,Hokkaido,235 ,1
8697,Gunma,852 ,10
8698,Saitama,2844 ,11
8699,Chiba,1761 ,12
